Province,District,Gender,Age,Disability,Orphan,Poverty Level,School Level,School Type,Enrolled,Grade,Grade Repetition,Transition Status,Dropout Status,Out of School,Distance to School (km),Midday Meal,Internet Access,Hostel Facility
Bagmati,Bhaktapur,Male,9,No,No,Low,Primary,Public,Yes,5,No,N/A,No,No,4.5,Yes,No,Yes
Bagmati,Chitwan,Female,17,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.0,Yes,Yes,No
Bagmati,Dhading,Male,18,No,No,Very High,Upper Secondary,Private,Yes,9,No,Yes,No,No,1.2,No,Yes,No
Bagmati,Dolakha,Male,10,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,2.4,No,No,No
Bagmati,Kathmandu,Female,18,Yes,No,High,Upper Secondary,Public,Yes,11,No,No,No,No,3.7,Yes,No,No
Bagmati,Kavrepalanchok,Female,18,No,No,Low,Upper Secondary,Private,No,9,-,N/A,Yes,No,2.4,No,Yes,No
Bagmati,Lalitpur,Female,15,No,No,Medium,Upper Secondary,Private,Yes,11,No,Yes,No,No,0.2,No,Yes,No
Bagmati,Makwanpur,Female,6,No,No,Low,Primary,Public,Yes,1,No,N/A,No,No,0.9,No,Yes,Yes
Bagmati,Nuwakot,Female,7,No,No,High,Primary,Public,Yes,1,No,N/A,No,No,2.8,Yes,Yes,No
Bagmati,Ramechhap,Male,16,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.9,No,No,No
Bagmati,Rasuwa,Male,12,No,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,1.2,Yes,Yes,No
Bagmati,Sindhuli,Male,17,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.5,No,No,No
Bagmati,Sindhupalchok,Female,14,No,No,High,Lower Secondary,Public,No,7,-,N/A,Yes,Yes,3.9,Yes,Yes,No
Gandaki,Baglung,Male,16,No,Yes,High,Upper Secondary,Public,Yes,12,No,No,No,No,0.9,No,No,No
Gandaki,Gorkha,Male,16,No,No,Very High,Upper Secondary,Public,Yes,12,No,Yes,No,No,0.3,Yes,Yes,No
Gandaki,Kaski,Male,10,No,No,Low,Primary,Public,Yes,4,No,N/A,No,No,0.9,No,Yes,No
Gandaki,Lamjung,Female,8,No,No,Medium,Primary,Public,Yes,5,No,N/A,No,No,2.6,No,No,Yes
Gandaki,Manang,Male,14,No,No,Medium,Lower Secondary,Public,Yes,7,No,Yes,No,No,0.5,No,Yes,No
Gandaki,Mustang,Female,10,No,No,High,Primary,Public,Yes,1,No,N/A,No,No,3.0,Yes,No,No
Gandaki,Myagdi,Male,9,No,No,High,Primary,Public,Yes,4,No,N/A,No,No,1.9,Yes,Yes,No
Gandaki,Nawalpur,Male,17,Yes,No,Very High,Upper Secondary,Public,Yes,12,Yes,Yes,No,No,3.1,Yes,No,No
Gandaki,Parbat,Male,7,Yes,No,Medium,Primary,Public,No,5,-,N/A,Yes,No,1.5,Yes,Yes,Yes
Gandaki,Syangja,Female,12,No,No,Medium,Lower Secondary,Private,Yes,6,No,Yes,No,No,3.5,No,Yes,Yes
Gandaki,Tanahun,Male,11,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,0.4,Yes,No,No
Lumbini,Arghakhanchi,Male,13,No,No,Low,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.9,No,No,No
Lumbini,Banke,Female,16,No,No,High,Upper Secondary,Public,Yes,9,No,No,No,No,3.1,No,Yes,No
Lumbini,Bardiya,Female,7,No,No,High,Primary,Public,Yes,3,No,N/A,No,No,4.7,No,No,No
Lumbini,Dang,Female,16,No,No,High,Upper Secondary,Public,Yes,11,No,No,No,No,1.4,Yes,No,No
Lumbini,Eastern Rukum,Female,18,No,No,High,Upper Secondary,Public,Yes,9,No,Yes,No,No,2.1,Yes,No,No
Lumbini,Gulmi,Male,6,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,1.8,Yes,No,No
Lumbini,Kapilvastu,Female,14,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,4.9,Yes,No,Yes
Lumbini,Parasi,Male,18,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.9,Yes,No,No
Lumbini,Palpa,Female,14,No,No,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.6,No,No,No
Lumbini,Pyuthan,Female,18,No,No,Low,Upper Secondary,Public,No,9,-,N/A,Yes,No,1.4,Yes,No,No
Lumbini,Rolpa,Male,8,No,No,Low,Primary,Public,Yes,3,No,N/A,No,No,2.2,Yes,No,No
Lumbini,Rupandehi,Female,15,No,No,Low,Upper Secondary,Private,Yes,11,No,Yes,No,No,4.1,No,Yes,No
Karnali,Dailekh,Female,13,Yes,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,1.1,Yes,No,No
Karnali,Dolpa,Male,13,No,No,High,Lower Secondary,Private,Yes,6,No,Yes,No,No,2.4,No,Yes,No
Karnali,Humla,Male,13,Yes,No,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.8,No,Yes,Yes
Karnali,Jajarkot,Male,17,No,No,Very High,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.4,Yes,No,No
Karnali,Jumla,Male,16,No,No,Very High,Upper Secondary,Private,Yes,10,No,Yes,No,No,1.7,No,Yes,No
Karnali,Kalikot,Female,17,No,No,Medium,Upper Secondary,Public,Yes,10,No,No,No,No,2.7,No,Yes,No
Karnali,Mugu,Male,15,No,Yes,Low,Upper Secondary,Public,Yes,10,No,Yes,No,No,0.2,Yes,No,No
Karnali,Salyan,Male,9,Yes,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,1.2,No,No,Yes
Karnali,Surkhet,Male,17,No,No,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.2,Yes,No,No
Karnali,Western Rukum,Male,16,Yes,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,1.7,Yes,Yes,No
Sudurpashchim,Achham,Male,6,No,No,Medium,Primary,Public,Yes,5,Yes,N/A,No,No,2.0,No,No,Yes
Sudurpashchim,Baitadi,Female,18,No,No,High,Upper Secondary,Public,Yes,10,No,Yes,No,No,0.7,Yes,No,No
Sudurpashchim,Bajhang,Male,11,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,4.4,Yes,Yes,No
Sudurpashchim,Bajura,Male,13,No,No,Very High,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.4,No,No,No
Sudurpashchim,Dadeldhura,Female,12,No,No,Medium,Lower Secondary,Public,Yes,6,No,No,No,No,4.2,Yes,No,No
Sudurpashchim,Darchula,Female,18,No,No,Medium,Upper Secondary,Private,No,11,-,N/A,Yes,No,1.4,No,Yes,No
Sudurpashchim,Doti,Female,7,Yes,No,Low,Primary,Public,Yes,5,No,N/A,No,No,3.8,Yes,No,No
Sudurpashchim,Kailali,Male,15,Yes,No,Very High,Upper Secondary,Private,Yes,11,No,Yes,No,No,3.0,No,Yes,No
Sudurpashchim,Kanchanpur,Male,13,No,No,Medium,Lower Secondary,Public,No,6,-,N/A,Yes,Yes,0.4,No,No,No
Province 1,Bhojpur,Female,14,No,No,Medium,Lower Secondary,Private,Yes,6,No,No,No,No,3.5,No,Yes,No
Province 1,Dhankuta,Male,12,No,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,1.4,No,No,No
Province 1,Ilam,Female,18,Yes,No,Low,Upper Secondary,Public,Yes,10,No,No,No,No,4.7,Yes,Yes,No
Province 1,Jhapa,Male,11,No,Yes,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,4.7,No,No,No
Province 1,Khotang,Male,17,No,No,High,Upper Secondary,Private,Yes,12,No,Yes,No,No,2.5,No,Yes,Yes
Province 1,Morang,Male,18,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,3.7,Yes,No,No
Province 1,Okhaldhunga,Male,9,No,No,Medium,Primary,Public,No,5,-,N/A,Yes,No,2.3,Yes,Yes,No
Province 1,Panchthar,Male,9,Yes,No,High,Primary,Public,Yes,1,No,N/A,No,No,4.0,No,No,No
Province 1,Sankhuwasabha,Male,13,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,2.1,Yes,No,No
Province 1,Solukhumbu,Female,9,No,No,Medium,Primary,Public,Yes,4,No,N/A,No,No,4.4,Yes,No,No
Province 1,Sunsari,Female,15,Yes,No,Very High,Upper Secondary,Public,Yes,10,No,No,No,No,4.8,Yes,Yes,No
Province 1,Taplejung,Female,16,Yes,No,High,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.0,Yes,No,No
Province 1,Terhathum,Female,7,Yes,No,Very High,Primary,Public,Yes,3,No,N/A,No,No,2.4,Yes,Yes,No
Province 1,Udayapur,Male,18,No,No,Medium,Upper Secondary,Public,Yes,10,No,Yes,No,No,3.7,No,No,No
Madhesh,Bara,Male,7,No,No,Medium,Primary,Private,Yes,5,No,N/A,No,No,3.0,No,Yes,Yes
Madhesh,Dhanusha,Male,17,No,No,Low,Upper Secondary,Private,Yes,12,No,Yes,No,No,5.0,No,Yes,No
Madhesh,Mahottari,Female,8,Yes,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,2.6,No,No,No
Madhesh,Parsa,Male,18,No,Yes,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,3.2,No,Yes,No
Madhesh,Rautahat,Male,15,No,No,Low,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.5,No,No,No
Madhesh,Saptari,Female,18,No,No,Medium,Upper Secondary,Public,Yes,11,No,No,No,No,3.6,Yes,No,No
Madhesh,Sarlahi,Male,14,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,0.3,Yes,No,No
Madhesh,Siraha,Female,16,No,No,High,Upper Secondary,Public,Yes,12,No,No,No,No,3.1,Yes,No,No
Bagmati,Bhaktapur,Female,16,No,No,High,Upper Secondary,Public,Yes,12,No,Yes,No,No,0.9,No,No,No
Bagmati,Chitwan,Female,16,Yes,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,2.9,Yes,No,No
Bagmati,Dhading,Female,7,No,No,Low,Primary,Public,Yes,5,No,N/A,No,No,3.6,Yes,No,No
Bagmati,Dolakha,Male,18,No,No,High,Upper Secondary,Private,Yes,9,No,No,No,No,4.8,No,Yes,Yes
Bagmati,Kathmandu,Male,16,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,4.0,No,No,No
Bagmati,Kavrepalanchok,Female,17,No,No,High,Upper Secondary,Public,Yes,9,No,Yes,No,No,0.2,Yes,No,Yes
Bagmati,Lalitpur,Male,14,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,2.9,Yes,No,Yes
Bagmati,Makwanpur,Female,9,No,No,High,Primary,Public,No,2,-,N/A,Yes,No,4.8,No,Yes,No
Bagmati,Nuwakot,Male,13,No,No,Very High,Lower Secondary,Public,Yes,8,No,Yes,No,No,2.9,Yes,No,No
Bagmati,Ramechhap,Female,14,No,No,Very High,Lower Secondary,Public,Yes,8,No,No,No,No,2.3,Yes,No,No
Bagmati,Rasuwa,Female,14,No,No,Low,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.7,Yes,No,Yes
Bagmati,Sindhuli,Male,15,No,No,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.6,No,No,No
Bagmati,Sindhupalchok,Male,8,No,No,Low,Primary,Private,Yes,2,No,N/A,No,No,2.3,No,Yes,No
Gandaki,Baglung,Male,18,No,No,Very High,Upper Secondary,Public,Yes,10,Yes,No,No,No,4.1,Yes,No,No
Gandaki,Gorkha,Female,16,No,No,High,Upper Secondary,Private,Yes,10,No,Yes,No,No,3.9,No,Yes,No
Gandaki,Kaski,Male,10,No,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,2.8,Yes,No,No
Gandaki,Lamjung,Female,6,Yes,No,High,Primary,Public,No,5,-,N/A,Yes,No,1.7,Yes,No,Yes
Gandaki,Manang,Male,17,No,No,Low,Upper Secondary,Public,Yes,10,No,Yes,No,No,1.5,Yes,Yes,No
Gandaki,Mustang,Female,6,No,No,Medium,Primary,Private,Yes,2,No,N/A,No,No,2.4,No,Yes,No
Gandaki,Myagdi,Male,10,No,No,High,Primary,Public,No,2,-,N/A,Yes,Yes,3.2,Yes,Yes,No
Gandaki,Nawalpur,Male,7,No,No,Medium,Primary,Public,Yes,2,No,N/A,No,No,5.0,Yes,No,No
Gandaki,Parbat,Female,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.8,Yes,Yes,No
Gandaki,Syangja,Male,12,No,No,Low,Lower Secondary,Public,Yes,8,No,No,No,No,1.6,Yes,No,No
Gandaki,Tanahun,Female,14,No,No,Medium,Lower Secondary,Public,Yes,7,No,No,No,No,2.1,Yes,No,No
Lumbini,Arghakhanchi,Male,11,No,Yes,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,2.3,Yes,Yes,No
Lumbini,Banke,Female,14,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,0.6,Yes,Yes,Yes
Lumbini,Bardiya,Male,10,Yes,No,Very High,Primary,Public,Yes,1,No,N/A,No,No,1.5,Yes,Yes,No
Lumbini,Dang,Female,16,No,No,High,Upper Secondary,Public,Yes,12,No,No,No,No,3.8,Yes,Yes,No
Lumbini,Eastern Rukum,Male,13,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,0.4,Yes,Yes,No
Lumbini,Gulmi,Male,14,No,Yes,High,Lower Secondary,Private,Yes,8,No,Yes,No,No,0.2,No,Yes,No
Lumbini,Kapilvastu,Female,12,Yes,No,High,Lower Secondary,Private,Yes,8,No,No,No,No,3.6,No,Yes,No
Lumbini,Parasi,Male,16,No,Yes,Low,Upper Secondary,Public,Yes,9,No,Yes,No,No,2.9,Yes,No,No
Lumbini,Palpa,Female,16,No,No,Very High,Upper Secondary,Public,Yes,10,No,Yes,No,No,3.4,Yes,Yes,Yes
Lumbini,Pyuthan,Male,10,No,No,High,Primary,Public,Yes,4,No,N/A,No,No,1.4,Yes,Yes,No
Lumbini,Rolpa,Male,11,Yes,Yes,Medium,Lower Secondary,Public,No,6,-,N/A,Yes,Yes,2.1,Yes,No,Yes
Lumbini,Rupandehi,Male,6,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,1.8,No,No,No
Karnali,Dailekh,Female,13,No,No,High,Lower Secondary,Private,Yes,8,No,Yes,No,No,2.9,No,Yes,No
Karnali,Dolpa,Female,14,No,No,High,Lower Secondary,Private,Yes,6,Yes,No,No,No,2.2,No,Yes,No
Karnali,Humla,Male,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,4.0,No,Yes,Yes
Karnali,Jajarkot,Male,10,No,No,Medium,Primary,Public,Yes,3,Yes,N/A,No,No,2.4,No,No,No
Karnali,Jumla,Male,14,No,No,High,Lower Secondary,Public,Yes,6,No,No,No,No,3.6,Yes,Yes,No
Karnali,Kalikot,Male,10,No,No,Very High,Primary,Private,No,2,-,N/A,Yes,Yes,3.0,No,Yes,No
Karnali,Mugu,Female,18,No,No,Low,Upper Secondary,Public,Yes,11,Yes,Yes,No,No,3.5,No,No,No
Karnali,Salyan,Male,15,No,No,Medium,Upper Secondary,Public,No,12,-,N/A,Yes,Yes,2.4,Yes,No,No
Karnali,Surkhet,Male,13,No,No,Low,Lower Secondary,Public,Yes,6,No,No,No,No,3.3,No,No,No
Karnali,Western Rukum,Male,13,No,No,Very High,Lower Secondary,Public,Yes,7,No,No,No,No,3.7,Yes,Yes,No
Sudurpashchim,Achham,Female,16,No,No,Very High,Upper Secondary,Public,No,12,-,N/A,Yes,Yes,2.0,Yes,Yes,No
Sudurpashchim,Baitadi,Female,7,No,No,Low,Primary,Public,Yes,2,No,N/A,No,No,2.1,No,Yes,No
Sudurpashchim,Bajhang,Male,7,No,No,Low,Primary,Private,Yes,5,No,N/A,No,No,2.9,No,Yes,No
Sudurpashchim,Bajura,Male,8,No,No,High,Primary,Private,No,1,-,N/A,Yes,No,3.9,No,Yes,No
Sudurpashchim,Dadeldhura,Female,10,No,No,Low,Primary,Public,Yes,1,No,N/A,No,No,3.9,No,No,Yes
Sudurpashchim,Darchula,Female,18,No,No,Low,Upper Secondary,Private,Yes,11,No,Yes,No,No,4.3,No,Yes,No
Sudurpashchim,Doti,Male,17,No,No,Low,Upper Secondary,Private,Yes,9,No,Yes,No,No,3.2,No,Yes,No
Sudurpashchim,Kailali,Male,13,No,No,Medium,Lower Secondary,Private,Yes,7,No,Yes,No,No,2.5,No,Yes,Yes
Sudurpashchim,Kanchanpur,Female,6,No,No,High,Primary,Public,Yes,3,No,N/A,No,No,2.9,Yes,No,No
Province 1,Bhojpur,Male,11,No,No,High,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.3,Yes,Yes,No
Province 1,Dhankuta,Female,15,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,0.3,Yes,No,No
Province 1,Ilam,Male,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,Yes,No,No,4.5,No,No,No
Province 1,Jhapa,Female,12,No,No,Very High,Lower Secondary,Public,Yes,6,No,No,No,No,2.0,Yes,No,No
Province 1,Khotang,Female,6,No,No,Low,Primary,Public,Yes,5,No,N/A,No,No,2.3,No,Yes,No
Province 1,Morang,Female,13,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.5,Yes,Yes,No
Province 1,Okhaldhunga,Male,16,Yes,No,High,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.5,Yes,No,No
Province 1,Panchthar,Female,16,Yes,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.4,Yes,No,No
Province 1,Sankhuwasabha,Female,11,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,3.6,Yes,Yes,Yes
Province 1,Solukhumbu,Male,15,No,No,High,Upper Secondary,Private,Yes,11,No,No,No,No,0.5,No,Yes,No
Province 1,Sunsari,Male,7,Yes,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,1.2,Yes,Yes,No
Province 1,Taplejung,Female,13,No,No,Medium,Lower Secondary,Public,Yes,8,No,Yes,No,No,4.9,No,Yes,No
Province 1,Terhathum,Male,11,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,4.8,No,Yes,No
Province 1,Udayapur,Male,10,No,No,High,Primary,Public,Yes,5,No,N/A,No,No,0.8,Yes,No,No
Madhesh,Bara,Male,13,Yes,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,1.5,Yes,Yes,Yes
Madhesh,Dhanusha,Female,14,No,No,Low,Lower Secondary,Public,Yes,7,No,Yes,No,No,4.4,Yes,No,No
Madhesh,Mahottari,Male,9,No,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,2.0,No,Yes,Yes
Madhesh,Parsa,Female,14,No,No,Medium,Lower Secondary,Public,Yes,6,Yes,Yes,No,No,0.3,Yes,No,No
Madhesh,Rautahat,Male,6,No,No,Very High,Primary,Private,Yes,5,No,N/A,No,No,0.9,No,Yes,No
Madhesh,Saptari,Female,9,No,No,Very High,Primary,Public,Yes,2,No,N/A,No,No,1.9,No,No,No
Madhesh,Sarlahi,Female,8,No,No,Medium,Primary,Public,Yes,2,No,N/A,No,No,1.6,No,No,No
Madhesh,Siraha,Female,7,No,No,Medium,Primary,Public,No,5,-,N/A,Yes,No,3.8,Yes,No,No
Bagmati,Bhaktapur,Female,17,No,No,Very High,Upper Secondary,Public,No,10,-,N/A,Yes,Yes,1.2,No,Yes,No
Bagmati,Chitwan,Female,16,No,No,Medium,Upper Secondary,Private,Yes,12,No,Yes,No,No,0.7,No,Yes,No
Bagmati,Dhading,Male,17,No,No,High,Upper Secondary,Public,Yes,10,No,No,No,No,0.4,No,No,Yes
Bagmati,Dolakha,Male,16,No,No,Very High,Upper Secondary,Public,Yes,12,No,Yes,No,No,1.8,Yes,No,No
Bagmati,Kathmandu,Male,15,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,0.9,Yes,No,No
Bagmati,Kavrepalanchok,Female,10,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,4.4,No,No,No
Bagmati,Lalitpur,Male,9,No,No,Medium,Primary,Public,Yes,3,No,N/A,No,No,3.8,Yes,Yes,Yes
Bagmati,Makwanpur,Male,15,No,Yes,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,0.9,Yes,Yes,No
Bagmati,Nuwakot,Female,16,Yes,No,High,Upper Secondary,Private,Yes,11,No,Yes,No,No,0.9,No,Yes,No
Bagmati,Ramechhap,Female,16,No,No,High,Upper Secondary,Public,Yes,10,No,No,No,No,3.7,No,No,No
Bagmati,Rasuwa,Female,16,No,No,Low,Upper Secondary,Public,No,12,-,N/A,Yes,Yes,0.9,Yes,No,No
Bagmati,Sindhuli,Male,16,No,No,High,Upper Secondary,Public,Yes,11,No,Yes,No,No,3.1,No,No,No
Bagmati,Sindhupalchok,Female,16,No,No,Low,Upper Secondary,Public,Yes,11,No,Yes,No,No,3.2,Yes,No,No
Gandaki,Baglung,Female,7,No,No,Low,Primary,Public,No,2,-,N/A,Yes,No,0.8,Yes,Yes,No
Gandaki,Gorkha,Male,9,No,No,High,Primary,Public,Yes,5,No,N/A,No,No,4.4,Yes,Yes,No
Gandaki,Kaski,Female,7,No,No,Medium,Primary,Private,Yes,3,No,N/A,No,No,5.0,No,Yes,No
Gandaki,Lamjung,Male,11,No,No,Very High,Lower Secondary,Private,Yes,6,No,No,No,No,2.0,No,Yes,No
Gandaki,Manang,Female,15,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,1.9,Yes,Yes,Yes
Gandaki,Mustang,Female,6,No,No,High,Primary,Private,Yes,5,No,N/A,No,No,0.2,No,Yes,Yes
Gandaki,Myagdi,Female,16,No,No,Low,Upper Secondary,Private,Yes,10,Yes,No,No,No,1.7,No,Yes,No
Gandaki,Nawalpur,Female,8,No,No,Medium,Primary,Private,Yes,3,No,N/A,No,No,0.6,No,Yes,Yes
Gandaki,Parbat,Female,7,No,No,High,Primary,Public,Yes,2,No,N/A,No,No,0.8,Yes,No,No
Gandaki,Syangja,Female,13,Yes,No,Low,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.6,Yes,Yes,No
Gandaki,Tanahun,Male,14,No,No,Medium,Lower Secondary,Public,Yes,8,No,No,No,No,4.1,Yes,No,No
Lumbini,Arghakhanchi,Female,7,No,No,Medium,Primary,Private,Yes,2,No,N/A,No,No,1.7,No,Yes,No
Lumbini,Banke,Male,15,No,No,Low,Upper Secondary,Private,Yes,10,No,Yes,No,No,0.7,No,Yes,No
Lumbini,Bardiya,Male,14,No,No,High,Lower Secondary,Public,Yes,8,No,Yes,No,No,1.2,No,No,Yes
Lumbini,Dang,Male,8,No,No,Medium,Primary,Public,Yes,1,No,N/A,No,No,1.1,No,Yes,No
Lumbini,Eastern Rukum,Female,6,No,Yes,High,Primary,Public,Yes,2,No,N/A,No,No,5.0,No,Yes,No
Lumbini,Gulmi,Female,18,No,No,Medium,Upper Secondary,Public,No,10,-,N/A,Yes,No,4.7,Yes,Yes,No
Lumbini,Kapilvastu,Female,15,No,Yes,Very High,Upper Secondary,Public,Yes,9,No,Yes,No,No,3.0,No,No,No
Lumbini,Parasi,Female,16,No,No,Low,Upper Secondary,Private,Yes,10,No,No,No,No,4.6,No,Yes,No
Lumbini,Palpa,Female,12,No,No,High,Lower Secondary,Public,Yes,7,No,Yes,No,No,3.4,Yes,No,No
Lumbini,Pyuthan,Male,16,No,No,Low,Upper Secondary,Public,Yes,11,No,No,No,No,1.4,No,No,No
Lumbini,Rolpa,Male,12,Yes,No,Low,Lower Secondary,Public,Yes,6,No,Yes,No,No,3.1,Yes,No,Yes
Lumbini,Rupandehi,Female,16,No,No,Medium,Upper Secondary,Public,Yes,11,No,Yes,No,No,3.5,No,Yes,No
Karnali,Dailekh,Female,11,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,4.3,No,Yes,No
Karnali,Dolpa,Male,17,No,No,Medium,Upper Secondary,Public,Yes,9,No,Yes,No,No,4.7,Yes,Yes,No
Karnali,Humla,Female,9,No,No,Very High,Primary,Private,Yes,5,No,N/A,No,No,2.3,No,Yes,No
Karnali,Jajarkot,Female,16,Yes,No,High,Upper Secondary,Private,Yes,11,Yes,No,No,No,4.9,No,Yes,Yes
Karnali,Jumla,Female,12,No,No,Low,Lower Secondary,Public,Yes,8,No,Yes,No,No,1.3,Yes,Yes,No
Karnali,Kalikot,Female,17,No,No,Medium,Upper Secondary,Public,Yes,12,No,Yes,No,No,3.5,Yes,Yes,No
Karnali,Mugu,Female,8,No,No,Medium,Primary,Private,Yes,2,No,N/A,No,No,4.1,No,Yes,Yes
Karnali,Salyan,Male,13,No,No,Very High,Lower Secondary,Public,Yes,7,Yes,Yes,No,No,1.4,No,No,No
